code,product_name,brands,categories,nutriscore_grade,nova_group,ingredients_text,color
1682,Minotaur bio - Huile d'Olive Vierge Extra,Minotaur,"plant-based foods and beverages, plant-based foods, fats, vegetable fats, olive tree products, vegetable oils, olive oils, greek oils and fats, extra-virgin olive oils, virgin olive oils, en:pork-rillettes",b,2,Huile d'Olive Vierge Extra,green
199000000,Organic Coconut Sparkling Spring Water,,"beverages, waters",b,1,,green
200000004,Purée d'Amandes Blanches Crues Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, produits à tartiner, fruits à coques et dérivés, pâtes à tartiner végétales, purées d'oléagineux, beurres de fruits à coques, purées d'amande, pâte de noix",a,1,Amandes blanches crues* (100%) (*issu de l'agriculture biologique).,green
200000008,Purée de Noisettes Sans Sel Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, matières grasses, produits à tartiner, fruits à coques et dérivés, pâtes à tartiner végétales, purées d'oléagineux, beurres de fruits à coques, purées de noisette, pâte de noix",a,2,Noisettes grillées* (100%) (*issu de l'agriculture biologique),green
207062276,Bio te verde,Lord Nelson,"aliments et boissons à base de végétaux,boissons,boissons chaudes,boissons à base de végétaux,thés,thés verts",b,1,100% té verde. Procedente de agricultura ecológica.,green
2887,Chicory,Herbamama,supplement,a,1,Chicory 1200 mg,green
300000001,Pois Chiches Bio,"Kazidomi, Nice","aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, conserves, légumineuses, graines, aliments à base de plantes en conserve, graines de légumineuses, légumineuses sèches, pois chiches, légumineuses en conserve, pois chiches en conserve",a,1,"Pois chiches*, eau (*issus de l'agriculture biologique)",green
300000002,Haricots Rouges Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, légumineuses, graines, graines de légumineuses, légumineuses sèches, en:common beans, haricots rouges",a,1,"Haricots rouges*, eau (*issus de l'agriculture biologique)",green
300000003,Haricots Noirs Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, légumineuses, graines, graines de légumineuses, légumineuses sèches, en:common beans, haricots noirs",b,1,"Haricots noirs*, eau (*issus de l'agriculture biologique)",green
300000004,Lentilles Brunes Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, légumineuses, graines, graines de légumineuses, légumineuses sèches, lentilles, lentilles brunes",b,1,"Lentilles*, eau. (*issu de l'agriculture biologique).",green
300000005,Petits Pois Verts Bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, légumineuses et dérivés, conserves, légumineuses, légumes et dérivés, aliments à base de plantes en conserve, légumes, légumes en conserve, légumineuses en conserve, petits pois, petits pois en conserve",a,1,"Petits pois*, eau (*issus de l'agriculture biologique)",green
3077,Hercules Strong white bread flour,"WholeSense, Bradshaws","plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, flours, cereal flours, breads, wheat flours, bread flours, wheat bread flour",a,1,_WHEAT_ Flour,green
3112,Papaya,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, tropical fruits, papayas",a,1,papaya,green
350034007,Italian tomato puree,Sainsbury's,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, condiments, vegetables based foods, sauces, tomatoes and their products, tomato sauces, tomato purées, en:tomatoes",b,1,"Tomatoes, Acidity Regulator: Citric Acid.",green
4021,Epler Golden Delicious,Bama dagligvare  as,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, apples, fresh fruits, sweet apples, fresh apples, golden delicious apples",a,1,Golden Delicious Apple,green
4048,Lime,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, citrus, limes",a,1,lime,green
4062,Cucumber,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, cucumbers",a,1,cucumber,green
4079,Cauliflower,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, leaf vegetables, cauliflowers, fresh cauliflowers",a,1,Cauliflower,green
4173,Gala Apple,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, apples, fresh fruits, sweet apples, fresh apples, gala apples",a,1,Gala apple,green
4312,Mango,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, tropical fruits, mangoes",a,1,Mango,green
4394,tree ripened papaya,"sainsbury's,by sainsbury's","plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, tropical fruits, papayas",a,1,papaya,green
4608,Fresh Garlic: produce code: ?,Bulk: by weight,"plant-based foods and beverages, plant-based foods, condiments, fruits and vegetables based foods, culinary plants, vegetables based foods, fresh foods, fresh plant-based foods, fresh vegetables, garlic and their products, garlic, fresh garlic",a,1,Fresh garlic.,green
4689,Yellow Bell Pepper,,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,vegetables,fresh foods,fresh plant-based foods,fresh vegetables,sweet peppers,fresh sweet peppers",a,1,yellow pepper,green
4747,Kålrot stykk,Bama dagligvare  as,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, turnip, rutabaga",a,1,rutabaga,green
4753,Melon medley,Tesco,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits",a,1,melon,green
4770,Avocado,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, fruits based foods, fruits, tropical fruits, avocados",a,1,avocado,green
4816,Sweet Potato,,"plant-based foods and beverages,plant-based foods,fruits and vegetables based foods,vegetables based foods,fresh foods,fresh plant-based foods,fresh vegetables,sweet potatoes",b,1,Sweet potatoes,green
5001,Organic tomato pulp,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, légumes et dérivés, tomates et dérivés, pulpes de tomates",a,1,Tomates*,green
5012,Passata de tomates bio,Kazidomi,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, condiments, légumes et dérivés, sauces, tomates et dérivés, sauces tomate, purées de tomates, coulis de tomates, en:groceries",a,1,Tomates 100%,green
651002125,Fresh spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Spinach,green
651313009,Brussels sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts,green
651319001,Microwavable Brussels Sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts,green
651319025,"Super shreds super foods, brussels sprouts shreds",,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts,green
651319032,Baby brussels sprouts,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Brussels sprouts,green
651881058,Spinach,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, fresh foods, fresh plant-based foods, leaf vegetables, fresh vegetables, spinachs, fresh spinachs",a,1,spinach,green
703302420,Houmous oignons caramélisés,Fontaine santé,"aliments et boissons à base de végétaux, aliments d'origine végétale, condiments, matières grasses, produits à tartiner, pâtes à tartiner végétales, produits à tartiner salés, sauces, trempettes, houmous, en:groceries",b,2,"Pois chiches, eau, tahini (beurre de sesame), huile de canola, oignons caramélisés, sel de mer, vinaigre, ail, huile d’olive, epices",green
764001169,Apple ginger drink,,"condiments, sauces, groceries",b,1,"Organic apple cider, filtered water, organic apple cider vinegar, organic ginger juice",green
778901327,Lettuce Wraps,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Lettuce.,green
787423049,Bowtie Noodles,Great Value,"plant-based foods and beverages, plant-based foods, pastas",a,1,"SEMOLINA (WHEAT), NIACIN, FERROUS SULFATE (IRON), THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID.",green
790001201,Sonnenblumenhack,DmBio,"en:meat alternatives, fleisch-ersatzprodukte, vegetarisches gehacktes",a,1,Sonnenblumenkerne teilentfettet,green
853004037,Core Hydration Water,Core,"beverages, waters, spring waters, mineral waters, low mineral bottled waters",a,1,"reverse osmosis water, calcium chloride, magnesium chloride and potassium bicarbonate for taste and hydration",green
901005005,"Guiltless Gourmet, Organic Unsweetened Coconut Water",Guiltless Gourmet Inc.,"plant-based foods and beverages, beverages, plant-based beverages",b,1,"Organic coconut water, ascorbic acid.",green
901881074,Beurre de  bleuets,,"produits laitiers, matières grasses, produits à tartiner, matières grasses à tartiner, matières grasses animales, matière grasse laitière, en:dairy-spread, beurres",b,2,,green
907991956,Olio extravergine di oliva,,"cibi e bevande a base vegetale, cibi a base vegetale, grassi, grassi vegetali, prodotti dell'ulivo, olio vegetale, olio di oliva, olio extra vergine di oliva, olio vergine di oliva, olio extravergine di oliva",b,2,,green
911010007,Huile d'olive vierge extra AOP,Le Moulin de l'Olivette,"aliments et boissons à base de végétaux,aliments d'origine végétale,matières grasses,matières grasses végétales,produits de l'olivier,huiles,huiles d'olive,huiles d'olive de france,huiles d'olive vierges extra,huiles d'olive de haute-provence",b,2,HUILE D'OLIVE VIERGE EXTRA,green
946111105,Dehydrated potato dices,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, mixed vegetables",a,1,Dehydrated potatoes.,green
946901539,Creamy Wheat Cereal,Augason Farms,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products",a,1,farina (wheat).,green
1002169696,Riz complet bio,Vegetalia,"aliments et boissons à base de végétaux, aliments d'origine végétale, céréales et pommes de terre, graines, céréales et dérivés, céréales en grains, riz, riz complet, riz complet cuit",b,1,riz complet,green
1002481230,Pistaches en poudre,Alsa,"aliments et boissons à base de végétaux, aliments d'origine végétale, fruits à coques et dérivés, fruits à coques, pistaches",a,1,Pistaches,green
1002502897,Myrtilles surgelées,,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, surgelés, fruits et produits dérivés, aliments à base de plantes surgelés, fruits, fruits rouges, fruits surgelés, myrtilles, fruits rouges surgelés, myrtilles surgelées",a,1,Myrtilles,green
1003277706,Avocats surgelés,Americana,"aliments et boissons à base de végétaux,aliments d'origine végétale,aliments à base de fruits et de légumes,fruits et produits dérivés,fruits,fruits tropicaux,avocats,avocats surgelés",a,1,"99% Avocats (Persea Americana), acide ascorbique, acide citrique.",green
1031595022,Aceite de coco,,"alimentos y bebidas de origen vegetal, alimentos de origen vegetal, aceites y grasas, grasas vegetales, aceites vegetales, aceites de frutas y semillas de frutas, aceites de coco",a,2,,green
1115309688,100% Pure Pumpkin,Foodtown,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, vegetables based foods, canned vegetables",a,1,Pumpkin.,green
1120790927,Coop fusilli 64,Coop,pasta secca di semola,a,1,semola di grano duro,green
1121301757,"Enriched macaroni product, linguine, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Semolina, niacin, ferrous sulfate (iron), thiamin mononitrate, riboflavin, folic acid.",green
1121301915,All Natural Pumpkin,Spartan,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, vegetables based foods, canned vegetables",a,1,Pumpkin.,green
1121302642,Raw bay scallops,Spartan,"seafood, frozen foods, frozen seafood",a,1,Bay scallops (farm raised).,green
1121303005,"Vinegar, apple cider",,"condiments, sauces, groceries",a,1,Apple cider vinegar (diluted with water to 5% acidity).,green
1121303007,"Vinegar, apple cider",,"condiments, sauces, groceries",a,1,Apple cider vinegar (diluted with water to 5% acidity).,green
1121303009,"Vinegar, apple cider",,"condiments, sauces, groceries",a,1,Apple cider vinegar (diluted with water to 5% acidity).,green
1121303011,"Vinegar, apple cider",,"condiments, sauces, groceries",a,1,Apple cider vinegar (diluted with water to 5% acidity).,green
1121303013,Distilled white vinegar,,"condiments, sauces, groceries",a,1,White distilled vinegar (diluted with water to 5% acidity).,green
1121303015,Distilled white vinegar,,"condiments, sauces, groceries",a,1,Distilled white vinegar (diluted with water to 5% acidity).,green
1121303017,Distilled white vinegar,,"condiments, sauces, groceries",a,1,Distilled white vinegar (diluted with water to 5% acidity).,green
1121303019,Distilled white vinegar,,"condiments, sauces, groceries",a,1,Distilled white vinegar (diluted with water to 5% acidity).,green
1121303200,"Spaghetti, Whole Wheat Macaroni Product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, spaghetti, whole-wheat-spaghetti",a,1,Durum whole wheat flour.,green
1121303202,"Penne rigate, whole wheat macaroni product",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Durum whole wheat flour.,green
1121303203,Rotini Whole Wheat Macaroni Product,Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,Durum whole wheat flour.,green
1121303909,Sliced peaches in 100% natural juice,,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Peaches, water, peach pulp and juice, pear juice concentrate, ascorbic acid (vitamin c) to protect color, citric acid.",green
1121303989,Sliced pears in pear juice,,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Pears, water, pear juice concentrate.",green
1121304006,Pear halves in pear juice,,"plant-based foods and beverages, plant-based foods, canned foods, fruits and vegetables based foods, canned plant-based foods, fruits based foods, canned fruits",a,1,"Pears, water, pear juice concentrate.",green
1121307285,"Elbow macaroni, enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum what semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",green
1121307287,"Elbow macaroni, enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307370,"Traditional thin spaghetti, enriched macaroni product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, spaghetti",a,1,"Durum wheat semolina (enriched iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307372,"Traditional Spaghetti, Enriched Macaroni Product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, spaghetti",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307374,"Spaghetti, enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, spaghetti",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid])",green
1121307376,"Enriched macaroni product, thin spaghetti, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, spaghetti",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307442,Traditional medium egg noodles,Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, noodles",a,1,"Semolina, durum flour (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]), eggs.",green
1121307444,"Wide egg noodles, enriched egg noodle product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, noodles",a,1,"Semolina, durum flour (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]), eggs.",green
1121307446,"Broad egg noodles, enriched egg noodle product, traditional",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, noodles",a,1,"Semolina, durum flour (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]), eggs.",green
1121307448,Traditional extra wide egg noodles,Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, noodles",a,1,"Semolina, durum wheat flour (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamine mono-nitrate, riboflavin, folic acid]), eggs.",green
1121307483,"Mostaccioli Pasta, Enriched Macaroni Product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307484,Traditional small seashells enriched macaroni product,Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",green
1121307486,"Lasagne, enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307489,"Traditional rotini twists, enriched macaroni product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid])",green
1121307491,"Egg Free Ribbons, Enriched Macaroni Product",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307492,"Seashells, enriched macaroni product, traditional",,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307494,"Tricolor rotini, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]), tomato solids, dried spinach.",green
1121307495,"Angel hair enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate], and b vitamins [niacin, thiamine mononitrate, riboflavin, folic acid]).",green
1121307497,"Linguini, enriched macaroni product, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina, (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307498,"Enriched macaroni product, penne rigate, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas, penne, penne rigate",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121307499,Traditional fusilli enriched macaroni product,Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mono-nitrate, riboflavin, folic acid]).",green
1121307501,"Enriched macaroni product, rigatoni pasta, traditional",Spartan,"plant-based foods and beverages, plant-based foods, cereals and potatoes, cereals and their products, pastas",a,1,"Durum wheat semolina (enriched with iron [ferrous sulfate] and b vitamins [niacin, thiamin mononitrate, riboflavin, folic acid]).",green
1121335720,Broccoli cuts,Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Broccoli.,green
1121335723,Cut Green Beans,Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Green beans.,green
1121335726,Sweet Green Peas,Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,Green peas.,green
1121335727,Brussels Sprouts,Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables, brussels sprouts",a,1,Brussels sprouts.,green
1121335728,Mixed Vegetables,Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Carrots, corn, green beans, peas, lima beans.",green
1121335733,"Broccoli, cauliflower & carrots california blend",Spartan,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Broccoli, cauliflower, carrots.",green
1121340848,Cut & peeled baby carrots,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Carrots.,green
1121340849,Cut & peeled baby carrots,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods",a,1,Carrots.,green
1121352353,1/2% Lowfat Milk,Spartan,"dairies, milks",b,1,"Lowfat milk, vitamin a palmitate, vitamin d3.",green
11341,Pois chiche,"Crous Languedoc Roussillon, Crous Resto'","aliments et boissons à base de végétaux, aliments d'origine végétale, légumineuses et dérivés, légumineuses, graines, graines de légumineuses, légumineuses sèches, pois chiches",b,1,Pois chiches 100%.,green
11600,6 British Large Eggs,M&S,"farming products, eggs, chicken eggs, free-range chicken eggs",a,1,_Eggs_.,green
11891,Baby Rainbow Carrots,M&S Eat Well,"baby rainbow carrots, en:carrots",a,1,Baby carrots,green
12126,Passion fruit,M & S,"aliments et boissons à base de végétaux, aliments d'origine végétale, aliments à base de fruits et de légumes, desserts, fruits et produits dérivés, purée de fruits sans sucres ajoutés",a,1,fruit de la passion,green
12683,sliced white mushrooms,M&S,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, vegetables based foods, mushrooms and their products, mushrooms, champignon mushrooms",a,1,White mushrooms.,green
13821,Red Split Lentils - Bulk bin,Superstore • Loblaws,"legumes,decorticated split red lentils,split red lentils -bulk bin",a,1,Split Red Lentils,green
14373,Imported Olive Oil,Trader Giotto's,olive oils from italy,b,2,"REFINED OLIVE OIL, EXTRA VIRGIN OLIVE OIL.",green
1450001425,Fresh frozen vegetables mixtures,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Broccoli, carrots, sugar snap peas, water chestnuts",green
1450001426,Fresh frozen vegetables mixtures,,"plant-based foods and beverages, plant-based foods, fruits and vegetables based foods, frozen foods, vegetables based foods, frozen plant-based foods, frozen vegetables",a,1,"Asparagus, yellow corn, white corn, carrots.",green
14526,Betteraves rouges,Crous Resto',"aliments et boissons à base de végétaux,aliments d'origine végétale,aliments à base de fruits et de légumes,légumes et dérivés,légumes,en:beet,betteraves-sous-vide,betteraves",a,1,Betteraves rouges 100%.,green
14656,Olive Oil,"Trader Giotto's,  Sk Wear",olive oils,b,2,EXTRA VIRGIN OLIVE OIL,green
14892,Peanut Butter,Trader Joe's,peanut butters,a,1,DRY ROASTED PEANUTS.,green
1494964588,Apfelmark,GutBio,"pflanzliche lebensmittel und getränke, pflanzliche lebensmittel, frucht- und gemüsebasierte lebensmittel, desserts, fruchtbasierte lebensmittel, kompotte, apfelkompott, apfelmus",a,1,"Äpfel* 99,9 %, Antioxidationsmittel: Ascorbinsäure.",green
15080,Salade verte,"Crous Languedoc Roussillon, Crous Resto'",en:salads,a,1,"Salade verte 85,7%, tomate cerise 14,3%.",green
1541800839,Organic apple cider vinegar,,"condiments, sauces, groceries",a,1,"Wine certified organic, raw apple cider vinegar.",green
1630000217,Graines de citrouille écalées crues,Mayrand chef,"aliments et boissons à base de végétaux, aliments d'origine végétale, graines, produits de la plante de courge, graines de courge et dérivés, graines de courge",a,1,Graines de citrouilles,green
17705,Huile d'olive,,"aliments et boissons à base de végétaux, aliments d'origine végétale, matières grasses, matières grasses végétales, produits de l'olivier, huiles, huiles d'olive, huiles d'olive vierges extra, huiles d'olive vierges",b,2,,green
17706,Huile d'olive Picholine,,"aliments et boissons à base de végétaux, aliments d'origine végétale, matières grasses, matières grasses végétales, produits de l'olivier, huiles, huiles d'olive, huiles d'olive vierges extra, huiles d'olive vierges",b,2,,green
18999,Porridge de Riz,"Marks & Spencer, Marks&Spencer","aliments et boissons à base de végétaux, aliments d'origine végétale, petit-déjeuners, céréales et pommes de terre, céréales et dérivés, céréales pour petit-déjeuner, porridge",b,1,Flocons de riz complet (65 %) Gruau de maïs (35 %).,green
19064,Scottish Large Eggs,M&S Food,"farming products,eggs,chicken eggs,free-range chicken eggs",a,1,Chicken Eggs,green
